date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:07:47	23516/23516	---M--	200	added ('OK')	font/woff	etag:%2263e1437c-5bdc%22	http://cdn2.editmysite.com/fonts/Lora/regular.woff	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/fonts/Lora/regular.woff	(from http://cdn2.editmysite.com/fonts/Lora/font.css?2)
10:07:49	43168/43168	---M-Z	200	added ('OK')	application/octet-stream	etag:%2263e1437c-a8a0%22	http://cdn2.editmysite.com/fonts/Lora/regular.ttf	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/fonts/Lora/regular.ttf	(from http://cdn2.editmysite.com/fonts/Lora/font.css?2)
10:07:49	23010/23010	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2263e02131-59e2%22	http://cdn2.editmysite.com/fonts/Lora/bold.eot	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/fonts/Lora/bold.eot	(from http://cdn2.editmysite.com/fonts/Lora/font.css?2)
10:07:49	19188/19188	---M--	200	added ('OK')	font/woff2	etag:%2263e2899a-4af4%22	http://cdn2.editmysite.com/fonts/Lora/bold.woff2	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/fonts/Lora/bold.woff2	(from http://cdn2.editmysite.com/fonts/Lora/font.css?2)
10:07:51	23010/23010	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2263e2899a-59e2%22	http://cdn2.editmysite.com/fonts/Lora/bold.eot?	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/fonts/Lora/boldd41d.eot	(from http://cdn2.editmysite.com/fonts/Lora/font.css?2)
10:07:53	23608/23608	---M--	200	added ('OK')	font/woff	etag:%2263e2899a-5c38%22	http://cdn2.editmysite.com/fonts/Lora/bold.woff	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/fonts/Lora/bold.woff	(from http://cdn2.editmysite.com/fonts/Lora/font.css?2)
10:07:53	42952/42952	---M-Z	200	added ('OK')	application/octet-stream	etag:%2263e02131-a7c8%22	http://cdn2.editmysite.com/fonts/Lora/bold.ttf	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/fonts/Lora/bold.ttf	(from http://cdn2.editmysite.com/fonts/Lora/font.css?2)
10:07:53	24991/24991	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2263e1437c-619f%22	http://cdn2.editmysite.com/fonts/Lora/italic.eot	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/fonts/Lora/italic.eot	(from http://cdn2.editmysite.com/fonts/Lora/font.css?2)
10:07:54	20908/20908	---M--	200	added ('OK')	font/woff2	etag:%2263d840f5-51ac%22	http://cdn2.editmysite.com/fonts/Lora/italic.woff2	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/fonts/Lora/italic.woff2	(from http://cdn2.editmysite.com/fonts/Lora/font.css?2)
10:07:57	24991/24991	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2263e1437c-619f%22	http://cdn2.editmysite.com/fonts/Lora/italic.eot?	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/fonts/Lora/italicd41d.eot	(from http://cdn2.editmysite.com/fonts/Lora/font.css?2)
10:07:57	25628/25628	---M--	200	added ('OK')	font/woff	etag:%2263d840f5-641c%22	http://cdn2.editmysite.com/fonts/Lora/italic.woff	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/fonts/Lora/italic.woff	(from http://cdn2.editmysite.com/fonts/Lora/font.css?2)
10:07:58	45228/45228	---M-Z	200	added ('OK')	application/octet-stream	etag:%2263d840f5-b0ac%22	http://cdn2.editmysite.com/fonts/Lora/italic.ttf	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/fonts/Lora/italic.ttf	(from http://cdn2.editmysite.com/fonts/Lora/font.css?2)
10:07:58	24598/24598	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2263d840f5-6016%22	http://cdn2.editmysite.com/fonts/Lora/bolditalic.eot	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/fonts/Lora/bolditalic.eot	(from http://cdn2.editmysite.com/fonts/Lora/font.css?2)
10:08:00	20568/20568	---M--	200	added ('OK')	font/woff2	etag:%2263d840f5-5058%22	http://cdn2.editmysite.com/fonts/Lora/bolditalic.woff2	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/fonts/Lora/bolditalic.woff2	(from http://cdn2.editmysite.com/fonts/Lora/font.css?2)
10:08:01	24598/24598	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2263e2899a-6016%22	http://cdn2.editmysite.com/fonts/Lora/bolditalic.eot?	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/fonts/Lora/bolditalicd41d.eot	(from http://cdn2.editmysite.com/fonts/Lora/font.css?2)
10:08:01	25076/25076	---M--	200	added ('OK')	font/woff	etag:%2263d840f5-61f4%22	http://cdn2.editmysite.com/fonts/Lora/bolditalic.woff	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/fonts/Lora/bolditalic.woff	(from http://cdn2.editmysite.com/fonts/Lora/font.css?2)
